title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-01 [Backend] - Cadastro de Candidatos,Backlog,User Story,Alta,Backend,,,"Administrativo","cadastrar pessoas com deficiência na lista de espera","organizar a lista de espera do serviço","Sistema deve permitir cadastro com dados obrigatórios: nome completo, responsável, tipo de deficiência, laudo médico, comprovante de residência, telefone, origem do encaminhamento, data de cadastro, grau de dependência, situação de vulnerabilidade","Criar endpoint para cadastro de candidatos|Implementar upload de arquivos (laudo e comprovante)|Validar dados obrigatórios"
US-02 [Backend] - Controle de Posição na Lista,Backlog,User Story,Alta,Backend,,,"Administrativo","manter ordem cronológica de cadastro e visualizar posição na fila","controlar a ordem de atendimento na lista de espera","Sistema deve manter ordem cronológica de cadastro|Sistema deve permitir visualizar posição de cada candidato na fila","Implementar algoritmo de ordenação por data|Criar visualização de posição na fila"
US-03 [Backend] - Gestão de Vagas Disponíveis,Backlog,User Story,Alta,Backend,,,"Administrativo","controlar número de vagas disponíveis e receber notificações de abertura","otimizar o preenchimento de vagas","Sistema deve controlar número de vagas disponíveis|Sistema deve notificar quando houver abertura de vaga","Implementar contador de vagas|Criar sistema de notificações por email"
US-04 [Frontend] - Agendamento de Visita Domiciliar,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","agendar visitas domiciliares para avaliação de perfil","realizar avaliação de perfil do candidato","Interface deve permitir agendar visitas com data e hora|Interface deve permitir selecionar profissionais responsáveis|Interface deve mostrar status da visita (agendada, realizada, cancelada)","Criar componente de calendário|Desenvolver formulário de agendamento|Implementar seletor de profissionais"
US-05 [Frontend] - Registro de Escuta Ativa e Qualificada,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar informações coletadas durante a escuta","documentar dinâmica familiar, necessidades, habilidades e potencialidades","Interface deve permitir registrar: dinâmica familiar, necessidades imediatas, habilidades identificadas, potencialidades, data da escuta, profissional responsável","Criar formulário de registro de escuta|Implementar campos textuais expansivos|Criar seletor de data"
US-06 [Frontend] - Gestão do PIA,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","criar, editar e gerenciar PIAs","planejar o atendimento individual e familiar","Interface deve permitir criar novo PIA|Interface deve permitir editar PIA existente|Interface deve permitir apresentar PIA para família|Interface deve permitir apresentar PIA para equipe de cuidadores|Interface deve mostrar status do PIA|Interface deve permitir avaliação e atualização do PIA","Desenvolver formulário complexo de PIA|Criar sistema de status visual|Implementar controles de versão"
US-07 [Frontend] - Cadastro de Usuários,Backlog,User Story,Alta,Frontend,,,"Administrativo","cadastrar usuários inseridos no serviço","gerenciar os usuários atendidos","Interface deve permitir cadastro com todos os dados pessoais|Interface deve ter seletores para gênero, faixa etária, tipo de deficiência, crença religiosa|Interface deve permitir selecionar turno de atendimento","Criar formulário abrangente de cadastro|Implementar múltiplos seletores|Criar interface responsiva"
US-08 [Frontend] - Controle de Desligamentos,Backlog,User Story,Alta,Frontend,,,"Administrativo","registrar desligamentos com motivos","manter histórico de desligamentos e seus motivos","Interface deve permitir registrar desligamentos|Interface deve ter seleção de motivos pré-definidos|Interface deve mostrar histórico de desligamentos","Criar formulário de desligamento|Implementar seleção de motivos|Desenvolver visualização de histórico"
US-09 [Frontend] - Registro de Violações de Direitos,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","categorizar e registrar violações identificadas","documentar violações de direitos para acompanhamento","Interface deve permitir selecionar tipo de violação|Interface deve permitir detalhar a violação|Interface deve permitir registrar data e informações","Criar catálogo visual de tipos de violação|Desenvolver formulário de registro|Implementar seleção múltipla"
US-10 [Frontend] - Registro de Atividades com Usuários,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar diferentes tipos de atividades com usuários","documentar as atividades realizadas com os usuários","Interface deve permitir selecionar tipo de atividade|Interface deve permitir registrar detalhes da atividade|Interface deve permitir associar usuários participantes","Criar seletor de tipos de atividades|Desenvolver formulário de registro|Implementar seleção múltipla de usuários"
