title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-01 [Backend] - Cadastro de Candidatos,Backlog,User Story,Alta,Backend,,,"Administrativo","cadastrar pessoas com deficiência na lista de espera","organizar a lista de espera do serviço","Sistema deve permitir cadastro com dados obrigatórios: nome completo, responsável, tipo de deficiência, laudo médico, comprovante de residência, telefone, origem do encaminhamento, data de cadastro, grau de dependência, situação de vulnerabilidade","Criar endpoint para cadastro de candidatos|Implementar upload de arquivos (laudo e comprovante)|Validar dados obrigatórios"
US-02 [Backend] - Controle de Posição na Lista,Backlog,User Story,Alta,Backend,,,"Administrativo","manter ordem cronológica de cadastro e visualizar posição na fila","controlar a ordem de atendimento na lista de espera","Sistema deve manter ordem cronológica de cadastro|Sistema deve permitir visualizar posição de cada candidato na fila","Implementar algoritmo de ordenação por data|Criar visualização de posição na fila"
US-03 [Backend] - Gestão de Vagas Disponíveis,Backlog,User Story,Alta,Backend,,,"Administrativo","controlar número de vagas disponíveis e receber notificações de abertura","otimizar o preenchimento de vagas","Sistema deve controlar número de vagas disponíveis|Sistema deve notificar quando houver abertura de vaga","Implementar contador de vagas|Criar sistema de notificações por email"
US-04 [Backend] - Agendamento de Visita Domiciliar,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","agendar visitas domiciliares para avaliação de perfil","realizar avaliação de perfil do candidato","Sistema deve permitir agendar visitas com data e hora|Sistema deve permitir atribuir profissionais responsáveis|Sistema deve controlar status da visita (agendada, realizada, cancelada)","Criar endpoint para agendamento|Implementar calendário de visitas|Criar sistema de status de visitas"
US-05 [Backend] - Registro de Escuta Ativa e Qualificada,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar informações coletadas durante a escuta","documentar dinâmica familiar, necessidades, habilidades e potencialidades","Sistema deve permitir registrar: dinâmica familiar, necessidades imediatas, habilidades identificadas, potencialidades, data da escuta, profissional responsável","Criar formulário de registro de escuta|Implementar armazenamento de dados textuais"
US-06 [Backend] - Gestão do PIA,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","criar, editar e gerenciar PIAs","planejar o atendimento individual e familiar","Sistema deve permitir criar novo PIA|Sistema deve permitir editar PIA existente|Sistema deve permitir apresentar PIA para família|Sistema deve permitir apresentar PIA para equipe de cuidadores|Sistema deve controlar status do PIA (elaborado, apresentado à família, apresentado à equipe, aprovado)|Sistema deve permitir avaliação e atualização do PIA","Criar CRUD completo para PIAs|Implementar controle de status|Criar sistema de versões para PIAs"
US-07 [Backend] - Cadastro de Usuários,Backlog,User Story,Alta,Backend,,,"Administrativo","cadastrar usuários inseridos no serviço","gerenciar os usuários atendidos","Sistema deve permitir cadastro com: dados pessoais completos, gênero e faixa etária, tipo de deficiência, crença religiosa, bairro de moradia, turno de atendimento, cuidador familiar responsável, data de inserção, grau de dependência, situação de vulnerabilidade social","Criar endpoint para cadastro de usuários|Implementar validação de dados|Criar relação com lista de espera"
US-08 [Backend] - Controle de Desligamentos,Backlog,User Story,Alta,Backend,,,"Administrativo","registrar desligamentos com motivos","manter histórico de desligamentos e seus motivos","Sistema deve registrar desligamentos com motivos: evasão, mudança para outro município, solicitação da família, alcance dos objetivos, ausência de acompanhamento da família, não identificação com a proposta do serviço, outros","Criar endpoint para registro de desligamentos|Implementar seleção de motivos|Manter histórico de desligamentos"
US-09 [Backend] - Registro de Violações de Direitos,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","categorizar e registrar violações identificadas","documentar violações de direitos para acompanhamento","Sistema deve categorizar e registrar violações dos tipos: exploração de imagem, isolamento social, confinamento, atitudes discriminatórias, falta de cuidados, alto grau de estresse do cuidador, desvalorização da potencialidade, violência patrimonial, negligência, abuso sexual, violência física ou psicológica, outras","Criar catálogo de tipos de violação|Implementar formulário de registro|Criar relatórios de violações"
US-10 [Backend] - Registro de Atividades com Usuários,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar diferentes tipos de atividades com usuários","documentar as atividades realizadas com os usuários","Sistema deve permitir registrar tipos de atividades: AVD, AIVD, oficinas terapêuticas, dinâmicas de grupo, musicalização, recreativas, laborais, participação social, externas, eventos, alongamento, expressivas, rodas de conversa, jogos lúdicos, socioeducativas, lazer, interação social, socioculturais, estudos de caso","Criar catálogo de tipos de atividades|Implementar formulário de registro|Criar relação com usuários"
