title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-01 [Frontend] - Cadastro de Candidatos,Backlog,User Story,Alta,Frontend,,,administrativo,cadastrar pessoas com deficiência na lista de espera,organizar e gerenciar a lista de espera,"Deve permitir inserir nome completo da pessoa com deficiência|Deve permitir inserir nome completo do responsável|Deve permitir selecionar tipo de deficiência|Deve permitir upload de laudo médico|Deve permitir upload de comprovante de residência|Deve permitir inserir telefone de contato|Deve permitir selecionar origem do encaminhamento|Deve registrar data de cadastro automaticamente","Criar interface do formulário de cadastro|Implementar validação dos campos|Integrar com backend para salvar dados|Implementar upload de arquivos"
US-02 [Frontend] - Controle de Posição na Lista,Backlog,User Story,Alta,Frontend,,,administrativo,visualizar a posição na fila de espera,acompanhar o andamento da lista,"Sistema deve manter ordem cronológica|Deve exibir a posição atual do candidato na lista","Desenvolver interface para exibir lista de espera com posições|Implementar lógica de ordenação cronológica no backend|Criar endpoint para retornar posição do candidato"
US-03 [Backend] - Gestão de Vagas Disponíveis,Backlog,User Story,Alta,Backend,,,administrativo,controlar o número de vagas disponíveis,notificar quando houver abertura,"Sistema deve controlar vagas disponíveis|Deve notificar automaticamente sobre abertura de vagas","Implementar lógica de contagem de vagas|Criar sistema de notificações|Desenvolver endpoint para consulta de vagas"
US-04 [Frontend] - Agendamento de Visita Domiciliar,Backlog,User Story,Alta,Frontend,,,equipe técnica,agendar visitas domiciliares,avaliação de perfil,"Deve permitir selecionar data e hora|Deve permitir escolher profissionais responsáveis|Deve permitir definir status da visita","Criar interface de agendamento|Implementar calendário para visualização|Integrar com backend para salvar agendamentos"
US-05 [Frontend] - Registro de Escuta Ativa e Qualificada,Backlog,User Story,Média,Frontend,,,equipe técnica,registrar informações coletadas durante a escuta,documentar dinâmica familiar e necessidades,"Deve permitir registrar dinâmica familiar|Deve permitir registrar necessidades imediatas|Deve permitir registrar habilidades identificadas|Deve permitir registrar potencialidades|Deve registrar data e profissional responsável","Criar formulário para registro de escuta|Implementar campos de texto para observações|Integrar com backend para armazenamento"
US-06 [Frontend] - Gestão do PIA,Backlog,User Story,Alta,Frontend,,,equipe técnica,"criar, editar e gerenciar PIAs",planejamento de atendimento individual e familiar,"Deve permitir criar novo PIA|Deve permitir editar PIA existente|Deve permitir apresentar PIA para família|Deve permitir apresentar PIA para equipe|Deve controlar status do PIA","Desenvolver interface de criação e edição de PIA|Implementar fluxo de aprovação|Criar funcionalidade de apresentação para família e equipe"
US-07 [Frontend] - Cadastro de Usuários,Backlog,User Story,Alta,Frontend,,,administrativo,cadastrar usuários inseridos no serviço,gerenciar informações dos usuários,"Deve permitir inserir dados pessoais completos|Deve permitir selecionar gênero e faixa etária|Deve permitir selecionar tipo de deficiência|Deve permitir registrar crença religiosa|Deve permitir inserir bairro de moradia|Deve permitir selecionar turno de atendimento|Deve permitir associar cuidador familiar|Deve registrar data de inserção","Criar formulário de cadastro de usuários|Implementar validações de dados|Integrar com backend para persistência"
US-08 [Backend] - Controle de Desligamentos,Backlog,User Story,Média,Backend,,,equipe técnica,registrar desligamentos de usuários,monitorar motivos de saída,"Deve permitir registrar motivo do desligamento (Evasão, mudança, solicitação da família, alcance de objetivos, outros)","Implementar tabela de motivos de desligamento|Criar endpoint para registro de desligamentos|Desenvolver lógica de atualização de status"
US-09 [Frontend] - Registro de Violações de Direitos,Backlog,User Story,Alta,Frontend,,,equipe técnica,categorizar e registrar violações identificadas,documentar casos para intervenção,"Deve permitir selecionar tipo de violação (Exploração de imagem, Isolamento social, Confinamento, etc.)|Deve permitir registrar detalhes da violação","Criar interface para registro de violações|Implementar lista de tipos de violação|Integrar com backend para armazenamento"
US-10 [Frontend] - Registro de Atividades,Backlog,User Story,Média,Frontend,,,equipe técnica,registrar diferentes tipos de atividades,documentar ações realizadas,"Deve permitir registrar atividades com famílias|Deve permitir registrar atividades com usuários|Deve permitir registrar atividades envolvendo usuários e famílias|Deve permitir registrar atendimentos multiprofissionais|Deve permitir registrar atendimentos técnicos individualizados|Deve permitir registrar estudos de caso","Criar formulário para registro de actividades|Implementar seleção de tipo de actividade|Integrar com backend para salvar registros"
US-11 [Frontend] - Controle de Contatos e Comunicações,Backlog,User Story,Média,Frontend,,,administrativo,registrar comunicações diversas,gerenciar interações com famílias e instituições,"Deve permitir registrar contatos telefônicos com cuidadores|Deve permitir registrar contatos telefônicos institucionais|Deve permitir registrar atendimento a público não acompanhado|Deve permitir registrar expedição/recebimento de ofícios e declarações|Deve permitir registrar encaminhamentos enviados/recebidos","Criar interface para registro de comunicações|Implementar campos para detalhamento|Integrar com backend para armazenamento"
US-12 [Frontend] - Registro de Reuniões e Eventos,Backlog,User Story,Baixa,Frontend,,,coordenador,registrar atividades institucionais,documentar eventos e reuniões,"Deve permitir registrar reuniões entre coordenação e equipe|Deve permitir registrar formações multiprofissionais|Deve permitir registrar reuniões com direção geral|Deve permitir registrar monitoramento do órgão gestor|Deve permitir registrar visitas institucionais|Deve permitir registrar eventos realizados/participados|Deve permitir registrar reuniões com parceiros","Criar formulário para registro de eventos|Implementar seleção de tipo de evento|Integrar com backend para salvar dados"
