title,status,tipo,prioridade,especialidade,epicoId,responsavelId,who,what,for,acceptanceCriteria,technicalTasks
US-01 [Backend] - API de Cadastro de Candidatos,Backlog,User Story,Alta,Backend,,,"Administrativo","cadastrar pessoas com deficiência na lista de espera","organizar a lista de espera do serviço","API deve aceitar todos os dados obrigatórios: nome completo, responsável, tipo de deficiência, laudo médico, comprovante de residência, telefone, origem do encaminhamento, data de cadastro, grau de dependência, situação de vulnerabilidade|API deve validar os dados antes de armazenar|API deve permitir upload de arquivos","Criar endpoint POST /candidatos|Implementar validação de dados|Configurar sistema de upload de arquivos|Criar modelo de dados para candidatos"
US-02 [Frontend] - Interface de Cadastro de Candidatos,Backlog,User Story,Alta,Frontend,,,"Administrativo","ter uma interface intuitiva para cadastrar candidatos","facilitar o registro na lista de espera","Interface deve conter todos os campos obrigatórios|Interface deve permitir upload de arquivos|Interface deve validar dados antes do envio|Interface deve mostrar feedback de sucesso/erro","Criar formulário de cadastro|Implementar componente de upload|Desenvolver validações frontend|Criar mensagens de feedback"
US-03 [Backend] - API de Controle de Posição na Lista,Backlog,User Story,Alta,Backend,,,"Administrativo","manter ordem cronológica de cadastro","controlar a ordem de atendimento","API deve manter ordem cronológica por data de cadastro|API deve calcular e retornar posição na fila|API deve permitir consulta de posição por ID do candidato","Implementar algoritmo de ordenação|Criar endpoint GET /candidatos/{id}/posicao|Desenvolver sistema de cálculo de posição"
US-04 [Frontend] - Visualização de Posição na Lista,Backlog,User Story,Alta,Frontend,,,"Administrativo","visualizar a posição dos candidatos na fila","acompanhar o andamento da lista de espera","Interface deve mostrar lista de candidatos em ordem cronológica|Interface deve exibir posição de cada candidato|Interface deve permitir filtrar e buscar candidatos","Criar componente de lista|Implementar display de posição|Desenvolver funcionalidade de busca|Criar filtros de visualização"
US-05 [Backend] - API de Gestão de Vagas,Backlog,User Story,Alta,Backend,,,"Administrativo","controlar número de vagas disponíveis","otimizar o preenchimento de vagas","API deve manter contador de vagas disponíveis|API deve notificar quando houver abertura de vaga|API deve permitir atualização do número de vagas","Criar endpoint GET /vagas|Implementar sistema de notificações|Desenvolver endpoint PUT /vagas|Criar modelo de controle de vagas"
US-06 [Frontend] - Interface de Gestão de Vagas,Backlog,User Story,Alta,Frontend,,,"Administrativo","visualizar e gerenciar vagas disponíveis","controlar a lotação do centro","Interface deve mostrar número atual de vagas|Interface deve permitir atualizar número de vagas|Interface deve exibir notificações de abertura de vagas","Criar painel de controle de vagas|Implementar componente de notificações|Desenvolver formulário de atualização"
US-07 [Backend] - API de Agendamento de Visitas,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","agendar visitas domiciliares","programar avaliações de perfil","API deve permitir agendamento com data, hora e profissionais|API deve controlar status da visita (agendada, realizada, cancelada)|API deve validar conflitos de agendamento","Criar endpoint POST /visitas|Implementar sistema de status|Desenvolver validação de conflitos|Criar modelo de agendamento"
US-08 [Frontend] - Interface de Agendamento de Visitas,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","agendar visitas através de interface visual","facilitar o agendamento de avaliações","Interface deve mostrar calendário com disponibilidade|Interface deve permitir selecionar data, hora e profissionais|Interface deve exibir status das visitas","Criar componente de calendário|Desenvolver seletor de profissionais|Implementar visualização de status|Criar formulário de agendamento"
US-09 [Backend] - API de Registro de Escuta,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","registrar informações da escuta qualificada","documentar avaliações dos candidatos","API deve armazenar: dinâmica familiar, necessidades, habilidades, potencialidades, data, profissional|API deve validar dados obrigatórios|API deve associar escuta ao candidato","Criar endpoint POST /escutas|Implementar validação de dados|Desenvolver modelo de dados para escutas|Criar relação com candidatos"
US-10 [Frontend] - Interface de Registro de Escuta,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","registrar informações através de formulário","facilitar a documentação das avaliações","Interface deve conter campos para todas as informações da escuta|Interface deve permitir selecionar data e profissional|Interface deve validar dados antes do envio","Criar formulário de escuta|Implementar seletores de data e profissional|Desenvolver validações frontend|Criar interface de associação com candidatos"
US-11 [Backend] - API de Gestão de PIA,Backlog,User Story,Alta,Backend,,,"Equipe Técnica","gerenciar planos de atendimento individual","planejar o acompanhamento dos usuários","API deve permitir criar, editar e gerenciar PIAs|API deve controlar status (elaborado, apresentado, aprovado)|API deve permitir avaliação e atualização|API deve maintain histórico de versões","Criar endpoints CRUD para PIAs|Implementar sistema de status|Desenvolver controle de versões|Criar modelo de dados para PIA"
US-12 [Frontend] - Interface de Gestão de PIA,Backlog,User Story,Alta,Frontend,,,"Equipe Técnica","criar e gerenciar PIAs através de interface","facilitar o planejamento de atendimento","Interface deve permitir criar e editar PIAs|Interface deve mostrar status atual|Interface deve permitir apresentação para família e equipe|Interface deve manter histórico de alterações","Criar editor de PIA|Implementar visualização de status|Desenvolver funcionalidade de apresentação|Criar histórico de versões"
